macAddr,endpointGroupName
DE:AD:BE:EF:CA:FE,
00:01:24:80:B3:9C,
14:AB:C5:7D:1D:29,
34:F3:9A:11:BD:D1,
90:B6:86:8E:50:89,
C0:33:5E:13:3F:43,
C0:A5:3E:1B:2D:40,
D0:E1:40:CB:2E:56,
DC:EF:CA:48:98:8A,
